Target,text,label
Legalization of Abortion,"If 'tis not human beings in the womb, how do we harvest and transplant their organs onto human beings? #SemST",0
Legalization of Abortion,pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen #SemST,1
Legalization of Abortion,Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #SemST,0
Legalization of Abortion,I just want to sit in a corner and cry. I wish I was a thicker-skinned feminist but this shit is personal! #MyBodyMyRights #SemST,1
Legalization of Abortion,Ok now how about we handle up on something just a little more important.....like MURDER #SemST,0
Legalization of Abortion,You sponsored the religious freedom bill. What is this bill that allows killing full term babies in NY? #tcot #SemST,0
Legalization of Abortion,I doubt she was clothed with anything when that pregnancy occurred. #SemST,0
Legalization of Abortion,"Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt #SemST",1
Legalization of Abortion,Since 1973 the USA has killed (via abortion) over 5 times the number of ppl Hitler is considered responsible for killing #SemST,0
Legalization of Abortion,"In the aim for equality we have forgotten the most innocent, the smallest, the most precious among us. The unborn. #catholic #SemST",0
Legalization of Abortion,I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,0
Legalization of Abortion,Before we go looking for #life on other #planets we should #stop #killing life on this one. #prolifeyouth #prolifegen #SemST,0
Legalization of Abortion,"If the fetus isn't inside you, than shut up love #SemST",1
Legalization of Abortion,I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,0
Legalization of Abortion,The unborn also have rights #defendthe8th #SemST,0
Legalization of Abortion,I am about to deck these 2 bitches in the fucking mouth. #1A #2A #NRA #COS #CCOT #TGDN #PJNET #WAKEUPAMERICA #SemST,0
Legalization of Abortion,"You have a #God given right to #live. And of all places, inside your #mother. -Phil Robertsonyouthgen #SemST",0
Legalization of Abortion,Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN? #SemST,0
Legalization of Abortion,What about the equal rights of unborn humans in which about 1% could grow up to be LGBT? #LoveWins #SemST,0
Legalization of Abortion,Good point but Our heart starts beating 22 days after conception we are alive at conception. #SemST,0
Legalization of Abortion,#SCOTUS says they support equality for all. Well what about equality for the unborn? #SemST,0
Legalization of Abortion,The day that love will truly win is the day that the injustice known as abortion is abolished. #AllLivesMatter #SemST,0
Legalization of Abortion,No Such Thing As An Unforced #ProlifeYouth #SemST,0
Legalization of Abortion,Before I formed you in the #womb I knew you. #prolifegen #prolifeyouth #God #SemST,0
Legalization of Abortion,we discussed how Business calculates risk factors. Drew was attacking #SpaceX inferring life is at risk. I invoked #SemST,0
Legalization of Abortion,Anti choice laws only effect women. People don't care about things that don't effect men #SemST,1
Legalization of Abortion,Pro-Choice is meaningless. Say what you mean. You stand for the right to choose to kill. #SemST,0
Legalization of Abortion,"Thanks for gently spoken truth, ! How DO we as a nation ""protect the innocent""? #TheFive #CCOT #DNC #RNC #SemST",0
Legalization of Abortion,Please join us as we pray to end the global holocaust of abortion! #SemST,0
Legalization of Abortion,Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! #SemST,0
Legalization of Abortion,When you bring up the 50 million black babies aborted in the past 30 years people get offended... #SemST,0
Legalization of Abortion,It's time to end the #deathpenalty in the United States. #wholelife #SemST,0
Legalization of Abortion,Are the same people who are red faced and frothing over abortion also against the death penalty? Just wondering... #deathpenalty #SemST,1
Legalization of Abortion,U know what isn't funny? Male politicians deciding what women should do with their body's. #SemST,1
Legalization of Abortion,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,0
Legalization of Abortion,Since #roevwade 1/3 of my #generation has been #aborted. Where were their #rights?youthgen #SemST,0
Legalization of Abortion,...anything that destroys God's gift of motherhood destroys His most precious gift to women #motherteresa #SemST,0
Legalization of Abortion,Like the govt. is literally taking away your right to live your own life by defunding right now #SemST,1
Legalization of Abortion,If my body is the only way you can live and I don't want that I have the right to dismiss you. I don't know why that's a problem #SemST,1
Legalization of Abortion,"If abortion is not wrong, then nothing is wrong. Powerful words from Blessed Mother Teresa. #SemST",0
Legalization of Abortion,Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST,1
Legalization of Abortion,"True equality"" allows all to be born. #SemST",0
Legalization of Abortion,Hey Megan--a baby's heart starts beating at 21 days after conception. No time is the right time to end its life!! #kellyfile #SemST,0
Legalization of Abortion,"Every sperm is apparently sacred, and entitled to use of someone's body. #rapeculture #worstargumentever #SemST",1
Legalization of Abortion,I don't think I have a right to use someone else's body without consent. Do you? #rapeculture #SemST,1
Legalization of Abortion,Abortion is not contraception. Contraception is about preventing pregnancy. Abortion is terminating a life. #CCOT #SemST,0
Legalization of Abortion,#Florida AttorneyGeneralBondi files appeal after Judge grants ACLU request to temporarily halt new law requiring 24hr wait before #SemST,0
Legalization of Abortion,We are people who believe every child is entitled to life and liberty.... -@BarackObama Yet abortion is still legal. #SemST,0
Legalization of Abortion,Love Wins? No it didn't. Love won't truly win until there is an end to abortion. Unborn babies deserve love too. #SemST,0
Legalization of Abortion,The Constitution of Kenya 2010 is clear that abortion on demand is illegal. #FIDA #SemST,0
Legalization of Abortion,My wife had an abortion when she was young She regrets it to this day #SemST,0
Legalization of Abortion,"Damn, interesting news when you find out you were almost a product of abortion #SemST",0
Legalization of Abortion,it's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of #SemST,0
Legalization of Abortion,"Unjustified homicide should ALWAYS be illegal, including #ProlifeYouth #SemST",0
Legalization of Abortion,I am just as much a feminist as any pro-choicer. I simply carry my beliefs to their logical conclusion. #faminism #YesAllWomen #SemST,0
Legalization of Abortion,"Woman's Heartbreaking Letter to Father of Baby She Aborted: ""I'm So Very Sorry - LifeNews. Please pray for the men hurt by abortion #SemST",0
Legalization of Abortion,God is the author of life and nobody has the right to take it. #SemST,0
Legalization of Abortion,we do care about the hurt inflicted upon preborn children through #abortion. #TruthTour #Ottawa #SemST,0
Legalization of Abortion,"Why would I want to make choices about my own body, when a congressman could do it for me? #ConversationsWithAlex #SemST",0
Legalization of Abortion,I will visit PEI when all women can get a lawful medical abortion on the island. #Cdnpoli #peipoli #womensrights #SemST,1
Legalization of Abortion,"Messed up: Being outraged that it's legal to distribute images of abortion, but being fine with abortion being legal. #No2Trudeau #SemST",0
Legalization of Abortion,Forced reproduction is a human rights violation. #feminism #abortionrights #SemST,1
Legalization of Abortion,"Dear to who it may concern;""YOU stand up for my right to live. #Baby #murder #RightToLife #unborn #womensrights #legal #SemST",0
Legalization of Abortion,"Lord Jesus,Touch my life with your saving power, heal and restore me to fullnessof life. #SemST",0
Legalization of Abortion,"Abortion does not make you un-pregnant, it makes you the mother of a dead child.isright #SemST",0
Legalization of Abortion,My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady #SemST,1
Legalization of Abortion,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,0
Legalization of Abortion,Good reminder that over 57 million children have never been granted the opportunity to share the air we breath. #Equality #SemST,0
Legalization of Abortion,Pro-choice is pro-murder couched in liberal rhetoric. #SemST,0
Legalization of Abortion,"I feel the greatest destroyer of peace today is 'Abortion',... Mother Teresa #SemST",0
Legalization of Abortion,Pretend I'm a #tree and #save me. -babies everywhereyouthgen #SemST,0
Legalization of Abortion,"We say God bless America but we kill 4,000 babies a year. #SemST",0
